nm0001150 | James Doohan
nm0001152 | Illeana Douglas
nm0001156 | Olympia Dukakis
nm0001162 | Griffin Dunne
nm0001164 | Charles Durning
nm0001182 | Carmen Electra
nm0001213 | Harvey Fierstein
nm0001222 | Calista Flockhart
nm0001229 | Glenn Ford
nm0001251 | Peter Gallagher
nm0001264 | Sarah Michelle Gellar
nm0001274 | Paul Michael Glaser
nm0001293 | Seth Green
nm0001302 | Christopher Guest
nm0001313 | George Hamilton
nm0001315 | Marcia Gay Harden
nm0001332 | Robert Hays
nm0001335 | Tippi Hedren
nm0001338 | Brian Helgeland
nm0001341 | Florence Henderson
nm0001342 | Jimi Hendrix
nm0001364 | Bob Hoskins
nm0001372 | Bonnie Hunt
nm0001384 | Ice-T
nm0001386 | Natalie Imbruglia
nm0001405 | Janusz Kaminski
nm0001439 | Anthony LaPaglia
nm0001447 | Nathan Lane
nm0001449 | Frank Langella
nm0001451 | Queen Latifah
nm0001468 | David Letterman
nm0001469 | Barry Levinson
nm0001473 | Laura Linney
nm0001475 | John Lithgow
nm0001482 | Courtney Love
nm0001502 | Luis Mandoki
nm0001505 | Joe Mantegna
nm0001513 | Tim Matheson
nm0001515 | Joseph Mazzello
nm0001518 | Dylan McDermott
nm0001527 | Elizabeth McGovern
nm0001542 | Jay Mohr
nm0001567 | Connie Nielsen
nm0001598 | Robert Patrick
nm0001606 | Chris Penn
nm0001609 | Rosie Perez
nm0001610 | Elizabeth Perkins
nm0001624 | Oliver Platt
nm0001625 | Amanda Plummer
nm0001629 | Kevin Pollak
nm0001654 | Ronald Reagan
nm0001661 | Rob Reiner
nm0001663 | Paul Reiser
nm0001703 | Maximilian Schell
nm0001708 | Joel Schumacher
nm0001711 | Annabella Sciorra
nm0001714 | Campbell Scott
nm0001718 | Kyra Sedgwick
nm0001741 | Bryan Singer
nm0001742 | Lori Singer
nm0001755 | Suzanne Somers
nm0001769 | Howard Stern
nm0001784 | Gloria Stuart
nm0001822 | Robert Wagner
nm0001848 | Dianne Wiest
nm0001851 | JoBeth Williams
nm0001856 | Oprah Winfrey
nm0001864 | Noah Wyle
nm0001877 | Hans Zimmer
nm0001898 | Bryan Adams
nm0001900 | Danny Aiello III
nm0001938 | Richard Belzer
nm0001951 | Björk
nm0001967 | Peter Boyle
nm0001980 | Carter Burwell
nm0001992 | Johnny Carson
nm0001993 | Vincent Cassel
nm0002028 | Sheryl Crow
nm0002055 | Alison Eastwood
nm0002062 | Kathryn Erbe
nm0002067 | Linda Evans
nm0002076 | Jason Flemyng
nm0002128 | Tess Harper
nm0002169 | Tori Amos
nm0002170 | Ashok Amritraj
nm0002178 | Alexandre Arcady
nm0002217 | Mychael Danna
nm0002227 | John Frizzell
nm0002300 | Robert E. Collins
nm0002320 | Fred Murphy
nm0002354 | John Williams
nm0002366 | Christopher Young
nm0002412 | Michael Fallavollita
nm0002436 | Shannon Elizabeth
nm0002529 | Brian A. Kates
nm0002536 | Emmy Rossum
nm0002808 | Andrea Maxwell
nm0002835 | Adam Bernstein
nm0002983 | Stephen Peters
nm0003044 | Michael Jordan
nm0003205 | Steve Gainer
nm0003206 | Clay Westervelt
nm0003299 | Marc Shaiman
nm0003380 | Douglas Yellin
nm0003392 | George S. Clinton
nm0004267 | Xavier Grobet
nm0004277 | Adam Belanoff
nm0004375 | John Dykstra
nm0004381 | Emma de Caunes
nm0004517 | Jason Alexander
nm0004694 | Christina Aguilera
nm0004695 | Jessica Alba
nm0004701 | Marcus Allen
nm0004706 | Louie Anderson
nm0004710 | Naveen Andrews
nm0004711 | Marc Anthony
nm0004712 | Fiona Apple
nm0004715 | Will Arnett
nm0004724 | Christine Baranski
nm0004726 | Lance Bass
nm0004729 | Michael Beach
nm0004730 | Orson Bean
nm0004731 | Garcelle Beauvais
nm0004732 | Boris Becker
nm0004740 | Bill Bellamy
nm0004742 | Maria Bello
nm0004743 | Gil Bellows
nm0004746 | Tony Bennett
nm0004750 | Marilyn Bergman
nm0004754 | Jessica Biel
nm0004755 | Jason Biggs
nm0004756 | Clint Black
nm0004757 | Selma Blair
nm0004763 | Mary J. Blige
nm0004778 | Adrien Brody
nm0004779 | Garth Brooks
nm0004804 | Drew Carey
nm0004827 | Eddie Cibrian
nm0004841 | Stewart Copeland
nm0004849 | David Crosby
nm0004856 | Carson Daly
nm0004857 | Tim Daly
nm0004866 | Amanda De Cadenet
nm0004903 | Kevin Eubanks
nm0004976 | Brian Grazer
nm0004979 | David Alan Grier
nm0004980 | Kathy Griffin
nm0004985 | Edd Hall
nm0005003 | Sean Hayes
nm0005007 | Jill Hennessy
nm0005023 | Djimon Hounsou
nm0005045 | Joshua Jackson
nm0005064 | January Jones
nm0005092 | Larry King
nm0005112 | LL Cool J
nm0005119 | Artie Lange
nm0005126 | Matt Lauer
nm0005143 | Jay Leno
nm0005151 | Jonathan Lipnicki
nm0005180 | Barry Manilow
nm0005198 | Martina McBride
nm0005202 | Eric McCormack
nm0005207 | Reba McEntire
nm0005209 | Mark McGrath
nm0005213 | Brian McKnight
nm0005257 | Alan Mruvka
nm0005260 | Frankie Muniz
nm0005277 | Conan O'Brien
nm0005278 | Jerry O'Connell
nm0005280 | Rosie O'Donnell
nm0005303 | Kimberly Peirce
nm0005310 | Regis Philbin
nm0005324 | Maury Povich
nm0005327 | Freddie Prinze Jr.
nm0005351 | Ryan Reynolds
nm0005377 | Sam Rockwell
nm0005379 | Dennis Rodman
nm0005380 | Ray Romano
nm0005408 | Katey Sagal
nm0005412 | Jane Seymour
nm0005430 | Gene Simmons
nm0005442 | Amy Smart
nm0005453 | Britney Spears
nm0005461 | Gwen Stefani
nm0005484 | Alan Thicke
nm0005489 | Courtney Thorne-Smith
nm0005517 | Gabrielle Union
nm0005545 | Jerry Weintraub
nm0005547 | Alexandra Wentworth
nm0005558 | Harland Williams
nm0005561 | Luke Wilson
nm0005580 | Carole King
nm0005633 | John Alcott
nm0005664 | Stephen H. Burum
nm0005695 | Frederick Elmes
nm0005696 | Robert Elswit
nm0005749 | Jeffrey Jur
nm0005793 | Phil Meheux
nm0005875 | Newton Thomas Sigel
nm0005923 | Ric Waite
nm0006108 | Miles Goodman
nm0006133 | James Newton Howard
nm0006142 | Mark Isham
nm0006229 | Nicholas Pike
nm0006465 | Marilyn Vance
nm0006534 | Phil Hay
nm0006561 | Velton Ray Bunch
nm0006889 | Herbert Ross
nm0006958 | Jonathan Tucker
nm0006997 | Peter M. Lenkov
nm0007184 | Tony Barbieri
nm0007209 | Stephen Stept
nm0008971 | Phil Abraham
nm0010075 | Jensen Ackles
nm0010736 | Amy Adams
nm0010915 | Don Adams
nm0011199 | Mason Adams
nm0011444 | Yolanda Adams
nm0012208 | Matt Adler
nm0012478 | Dexter N. Adriano
nm0013037 | Shohreh Aghdashloo
nm0013094 | Tom Agna
nm0013723 | Louis Aguirre
nm0014582 | Liam Aiken
nm0015382 | Adewale Akinnuoye-Agbaje
nm0016437 | Chris Albers
nm0017651 | Tom Aldredge
nm0018872 | Manuel Alexandre
nm0019172 | Kristian Alfonso
nm0020767 | Lewis M. Allen
nm0020770 | Lily Allen
nm0021608 | Gloria Allred
nm0022198 | Johnny Alonso
nm0022743 | Julie Alter
nm0025852 | Ronni Ancona
nm0026364 | Anthony Anderson
nm0027423 | Scott E. Anderson
nm0027572 | Wes Anderson
nm0027586 | William A. Anderson
nm0028276 | Ron Andreassen
nm0028870 | Thea Andrews
nm0029646 | Vincent Angell
nm0029675 | Lou Angelo
nm0029774 | Bernd Angerer
nm0031976 | Judd Apatow
nm0032304 | Carmine Appice
nm0032318 | Max Apple
nm0033550 | Enrique Arce
nm0034162 | Humberto Arechiga
nm0034513 | Allison Argo
nm0035394 | Arledge Armenaki
nm0035488 | Fred Armisen
nm0035664 | Curtis Armstrong
nm0035697 | Eric Armstrong
nm0035790 | Lance Armstrong
nm0035836 | Mike Armstrong
nm0035952 | Adam Armus
nm0036349 | Andrea Arnold
nm0036587 | Norman Arnold
nm0037434 | José Arroyo
nm0037735 | Bea Arthur
nm0037865 | Paul Arthurs
nm0038680 | Ashanti
nm0039162 | Shawn Ashmore
nm0040662 | Tom Atkins
nm0042006 | Scott Aukerman
nm0044762 | Obba Babatundé
nm0045522 | Scott Wyatt Bachmann
nm0045807 | Michael Bacon
nm0045974 | David Baddiel
nm0047419 | Miranda Bailey
nm0048250 | Becky Ann Baker
nm0048273 | Blanche Baker
nm0048505 | Heather Baker
nm0049920 | Howard Baldwin
nm0049945 | Karen Elise Baldwin
nm0050198 | Alison Balian
nm0050393 | James Ball
nm0050890 | Robert Ballo
nm0051509 | Eric Bana
nm0052045 | Mirra Bank
nm0052256 | Tony Banks
nm0054369 | Bobby Bare
nm0056564 | Ron Barr
nm0057363 | Barbara Barrie
nm0057398 | Michael Barrie
nm0059324 | Laurie Bartram
nm0059946 | Elya Baskin
nm0061045 | Tyler Bates
nm0061771 | Charita Bauer
nm0062328 | Alan Baumgarten
nm0062749 | Jeffrey Baxter
nm0063896 | Frank Beard
nm0064469 | Carter Beauford
nm0065059 | Beck
nm0065100 | Christophe Beck
nm0066268 | Steve Mitchell Beebe
nm0066877 | Joy Behar
nm0068338 | Kristen Bell
nm0068624 | Robert Bella
nm0069079 | Troian Bellisario
nm0071304 | H. Jon Benjamin
